concurrency,requests,errors,output_tps_avg,request_rps_avg,latency_s_avg,latency_s_p50,latency_s_p95,latency_s_p99,latency_s_max,ttft_s_avg,ttft_s_p50,ttft_s_p95,ttft_s_p99,ttft_s_max,decode_tps_user_avg,decode_tps_user_p5,decode_tps_user_p50,decode_tps_user_p95,decode_tps_user_min,e2e_tps_user_avg,itl_ms_avg,first_second_gap_s_avg,first_second_gap_s_p95,effective_concurrency_avg,prompt_tokens_avg,prompt_tokens_min,prompt_tokens_max,gpu_j_output_token_avg,energy_derived_power_w_avg,server_running_avg,server_running_p50,server_running_max,server_queue_avg,server_queue_p50,server_queue_max,server_queue_s_avg,server_retracted_max,estimated_tflops,gpu_temperature_c_avg,gpu_temperature_c_max,gpu_utilization_pct_avg,gpu_utilization_pct_max,sampled_gpu_power_w_avg,sampled_gpu_power_w_max,profiling_duration_s
1,384,0,12.026620168096853,0.09395797006325667,10.639548815114583,10.636723978,10.68365165595,10.72123194571,10.846246502,0.30005750159375,0.2995088505,0.30467842819999996,0.31786538368000006,0.36172674,12.283095314945546,12.229801555237094,12.286713926478415,12.324242606875991,12.046974271237303,12.030675418094432,81.4133174292979,0.08131227463020832,0.08379944689999999,0.999670408908321,524.1276041666666,523.0,526.0,2.8876954142252655,34.72921590804238,0.8163115356355621,1.0,1.0,0.0,0.0,0.0,0.00021183402683770206,0.0,2.7042227955254763,67.19942018799965,76.0,95.98067293332161,96.0,35.55892778705087,45.285000000000004,4086.933761356
2,384,0,22.627233922378625,0.176775265018583,11.31077688805729,11.3079418855,11.349216463200001,11.35630702388,11.37097987,0.5345586167005208,0.533532958,0.5378523506499999,0.6007241019299999,0.603789195,11.785245580570582,11.744505736361605,11.787764134157388,11.814646352979263,11.73597124226404,11.316674485127328,84.85211237288794,0.08451172325520832,0.08621076740000001,1.999465582446801,524.1119791666666,523.0,526.0,1.5885154012044211,35.94370957235357,1.6537221795855717,2.0,2.0,0.0,0.0,0.0,0.00025866545486981823,0.0,5.087714039342946,68.3848059454996,77.0,95.98249380677126,96.0,36.78875920726672,55.935,2172.249607204
4,384,0,41.97279097305558,0.3279124294769967,12.195370009710938,12.1880321305,12.241441711699999,12.270863222970002,12.297716299,0.9221568525130208,0.9044595519999999,0.9818497144499999,0.98347031538,0.9963203749999999,11.265798259171781,11.20868024853417,11.261027695995221,11.345390297324819,11.147877298098914,10.495832063833014,88.76545793069225,0.14747953879166664,0.17081559254999995,3.9990134070315264,524.1197916666666,523.0,526.0,0.9174580688476646,38.508275750286266,3.80751708428246,4.0,4.0,0.0,0.0,0.0,0.00034597843387018656,0.0,9.437783345471441,69.51146438398044,78.0,95.9672882910425,96.0,39.39794863955977,70.674,1171.044356606
8,384,0,73.90283544527841,0.5773659019162376,13.852911916302084,13.842096067499998,13.91922343155,13.951793908169998,13.951965113999998,1.4807222752682292,1.7070063359999998,1.8001341347,1.8556880345300006,1.9005347369999999,10.272241381351845,9.900471049890525,10.450764045171296,10.55394453821782,9.865254896324881,9.239986690823185,97.4188160711327,0.4212498198619792,0.84630066795,7.998198984436011,524.1145833333334,523.0,526.0,0.5416225382486966,40.02744131764743,7.42613920881322,8.0,8.0,0.0,0.0,0.0,0.08106491813638665,0.0,16.617263770892624,70.90860215053763,80.0,95.94462365591397,96.0,41.0231876344086,78.395,665.089501693
16,384,0,119.37418742704708,0.9326108392738053,17.152117715924476,17.1437006335,17.2254243846,17.27676908296,17.278364643999996,2.3863133199817708,2.6581236845,3.4281042148499994,3.5022165878299996,3.6059444309999997,8.628758296918525,7.886002839048684,8.760516210101823,9.24631865892482,7.854332828434039,7.462678465962053,116.26617634600555,1.168138495927083,2.4831734894,15.996250883909902,524.1536458333334,523.0,526.0,0.3620983683268201,43.22519848767376,14.131770412287793,16.0,16.0,0.5529506871463218,0.0,8.0,0.7244795806536786,0.0,26.846554711391306,72.50608695652174,81.0,95.94521739130435,96.0,44.36056956521739,78.757,411.747305338
32,384,0,171.95661308943303,1.3434110397611956,23.814873279265623,23.8229823655,23.90594311015,23.90820778806,23.911450755999997,4.075983811601562,4.2879465885,6.71762712475,6.87260165867,6.900747805,6.489548650394757,5.586289865867163,6.499903873668677,7.405119687058849,5.562668945247529,5.374822499023675,155.42432651703984,2.829303985138021,5.77694880265,31.993163683930092,524.1276041666666,523.0,526.0,0.284926879882822,48.99506124278979,26.9,32.0,32.0,2.8651162790697673,0.0,24.0,2.2476684624843983,0.0,38.594005464417805,75.43445692883896,83.0,95.58426966292134,96.0,50.31602496878901,79.446,285.839544737
48,384,0,202.79242808719638,1.5843158444312218,30.29160064813281,30.295487594999997,30.390775298549997,30.398517381799998,30.402435408,5.724823874567708,5.912996354,9.94757740485,10.06075117128,10.180789217,5.237245185277509,4.355537975268868,5.207188618648089,6.225366032160872,4.336199917172169,4.225608913400936,193.439187193426,4.4926265028125,9.0601485106,47.99146286337467,524.15625,523.0,526.0,0.26640356445311864,54.02462568653185,39.278082191780825,48.0,48.0,5.890410958904109,0.0,40.0,3.8390222043869167,0.0,45.60747783799061,77.50879765395895,85.0,95.89589442815249,96.0,55.5106392961877,80.162,242.375913458
56,384,0,211.18789322587034,1.649905415827112,33.304741032656246,33.617761973,33.97992489765,33.987205815150006,33.988884244,6.493174345929687,6.714607567999999,11.421288508399998,11.645821753849999,11.871835343999999,4.811892975816725,3.966104152281425,4.743521563282596,5.758475531071107,3.868495296762052,3.848076120622976,211.11469832068158,5.238772134367188,10.224368468649999,54.94967257214562,524.1770833333334,523.0,526.0,0.25825840250651044,54.541047933228775,44.68188302425107,56.0,56.0,7.303851640513552,0.0,48.0,4.582752312092755,0.0,47.50297795178723,78.83180428134557,86.0,95.92660550458716,96.0,56.07301070336392,81.518,232.74061429
64,384,0,221.7373296854934,1.7323228881679171,36.93688524532031,36.9405048015,37.06679376445,37.140466530539996,37.146139606999995,7.386581009528645,7.5269591705,13.05516704275,13.30080622005,13.417996072,4.368154539591244,3.614508083644154,4.318066028735922,5.323993595790079,3.533212657055956,3.46538799244941,232.6795609117454,6.121682826328125,11.73156340635,63.986611717153686,524.0963541666666,523.0,526.0,0.2490700276692819,55.22812284007853,51.44461077844311,64.0,64.0,9.282934131736527,0.0,56.0,5.460722941929816,0.0,49.83870635281128,78.8860353130016,86.0,95.92134831460675,96.0,56.64048314606742,81.422,221.667682522
72,384,0,220.49107971407258,1.722586560266192,39.25356455208593,40.022611123999994,40.18431712045,65.59878700167026,80.06597119199999,8.313687798677083,7.570170692,14.47950689925,40.922659411590004,41.251350546999994,4.2550798009107345,3.3267359968790675,4.020286823190781,6.402589125282557,3.2571629135986986,3.3550788404817435,243.62107679849493,6.5553871978359375,13.164866541699999,67.61766271676382,524.1171875,523.0,526.0,0.25827130126953235,56.946518076077716,53.61549925484352,71.0,71.0,10.789865871833085,1.0,64.0,6.372235662157739,0.0,49.59259956781718,79.85645933014354,87.0,95.88197767145135,96.0,58.49887400318978,80.709,222.920582836
